,,,,,
Feature,Details,Priority,Supported,Notes,References
Inheritance and Polymorphism,"MongoDB’s flexible schema allows polymorphic documents in a single collection, which is common in real-world use cases. Supports defining base models and extending them into specialized sub models enabling cleaner, reusable code aligned with OOP principles.",High,Unsupported,,
Performance Standards - Implement Benchmark,This includes making sure that an ODM performs to the best of its abilities and offers capabilities such as query caching if necessary.,High,Unknown,Includes built-in connection pooling and integration with Prisma Accelerate for global scaling and caching.,Connection pool
Representing Relationship,"Users should be able to easily represent their data aligning with MongoDB's principle of Data Modelling.

One to One
One to Many
Many to One
Many to Many
",High,Partial,"Supports One-to-One, One-to-Many, and Many-to-Many relations using @relation and reference IDs, but it is not created during the Introspection process.",Prisma ORM MongoDB database connector
Change Streams,"Change Streams allow applications to react to real-time changes in the database without the need for polling. The ODM should expose a simple, idiomatic API to watch for inserts, updates, deletes, and other changes on a single collection, an entire database, or the full deployment. This is essential for building reactive systems, real-time notifications, cross-service synchronization, and event-driven architectures.",Medium,Unsupported,The workaround is to instantiate a second client connection using the Node.js driver directly.,Features that prisma mongodb does not support yet because of driver limitation #12746
Vector Search,Vector Search is another MongoDB Differentiating feature that we should support in our ODM's. This will allow our customers to easily build AI applications on top of MongoDB.,Medium,Unsupported,No native type-safe API for Vector Search ($vectorSearch). Must use the raw query escape hatch.,Raw queries
MongoDB Security Features (CSFLE/QE),"Our ODM's should natively support MongoDB's key security features such as CSFLE and Queryable Encryption (QE) enabling developers to protect sensitive data. This ensures applications can meet compliance requirements, enforce strong data privacy, and fully leverage MongoDB’s enterprise grade security capabilities.",Medium,Unsupported,Prisma Client does not natively expose configuration for Client-Side Field Level Encryption (CSFLE) or Queryable Encryption (QE).,
Geospatial Feature,"Geospatial Querying is a common use case in many applications especially logistics, travel, and other geo-aware applications . Our ODM's should provide first-class support for geospatial fields, queries, and indexing.",Medium,Unsupported,Complex workaround storing GeoJSON data using the Json field type and run geospatial queries using aggregateRaw.,Geolocation/Spatial types support · Issue #1798 · prisma/prisma
Atlas Search,Full Text Search in general as well as MongoDB's own Atlas Search (4.4k orgs and $163 Million in ARR) is a very common and growing use case so we should have native support for this feature in our ODMs.,Medium,Unsupported,No native type-safe API for Atlas Search ($search). Must use the raw query escape hatch.,Raw queries
Timeseries,"MongoDB natively supports time series collections optimized for handling time stamped data such as metrics, logs, and IoT data. The ODM should allow developers to define time series collections with relevant metadata and time fields easily.",Medium,Unsupported,Complex workaround storing Time Series data using the Json field type and run geospatial queries using aggregateRaw.,Support for MongoDB time series collections · Issue #13669 · prisma/prisma
GridFS,GridFS is not as widely used as features like Atlas Search or Vector Search but it is a critical feature for applications that need to store and retrieve large files exceeding MongoDB’s document size limit.,Low,Unsupported,,
BSON Data Type Support,"ODM must accept all non-deprecated BSON types as input. And must support representing all non-deprecated BSON types as outputs (if all cannot be supported, any limitation must be documented)",Low,Partial,"Maps most BSON types to Prisma types (e.g., ObjectId, Decimal128).",MongoDB database connector
Support for Polymorphic Array/Embedded Field,"MongoDB allows arrays and embedded fields to contain mixed types which is useful for storing heterogeneous data (e.g. an array of embedded documents). Our ODM's should support polymorphic arrays and embedded documents to enable mapping of rich, flexible data structures.",Low,Partial,"Prisma's schema is strict and does not natively support Union types (e.g., an array containing different shapes of objects). Workarounds involve using an untyped Json field or multiple optional fields.",
Index Creation (all types),"The ODM should offer first class support for defining all major MongoDB index types such a single-field, compound, etc. and it should also support advanced index properties such as TTL, unique, sparse, partial, etc.

Additionally, the ODM should enable creation and management of Atlas Search and Vector Search indexes, which are critical for modern search and AI-driven use cases

Index Creation (all types)
Single
Compound
Multikey Index
Text
Hashed 
Geospatial
Clustered Index
WildCard

Support for index properties:
Case-Insensitive
Hidden Indexes
Partial  Indexes
Sparse Indexes
TTL Indexes
Unique Indexes
Others:
Atlas Search Index
Vector Search Index
",Low,Partial,Supports standard unique (@unique) and compound (@@index) indexes. Limitation: Atlas Search and Vector Search indexes are not supported in the Prisma schema definition.,Prisma Schema API
Escape hatch,An escape hatch allows developers to bypass ODM abstractions and interact directly with the underlying MongoDB driver or construct raw queries when needed or accessing features not yet supported by the ODM. Providing this flexibility ensures the ODM doesn’t become a limiting layer and gives developers full control when necessary.,n/a,Full,"Provides findRaw, aggregateRaw, and runCommandRaw to execute raw MongoDB commands.",Raw queries
Aggregation,Basic querying may not meet the needs of apps which require complex querying. Supporting Aggregation directly (e.g. raw_aggregate) in ODM gives them the flexibility to write complex queries from ODM without tapping into low level drivers.,n/a,Full,"Native API supports basic aggregations (_sum, _avg, _count, _min, _max) and groupBy. Limitation: Complex aggregation pipelines (e.g., $unwind, $project) require the raw query escape hatch.","Aggregation, grouping, and summarizing (Concepts)"
Bulk Operations,Essential for performance when doing bulk insert/update/delete from ODMs. We have seen some request from users asking if Django supports bulk operation,n/a,Full,"createMany, updateMany, and deleteMany are supported. Limitation: createMany does not return the created records (only a count).",CRUD (Reference)
$lookup - Join operation,"There are cases where users need to leverage $lookup to reference related data across collections. With an ongoing initiative to improve $lookup performance, it becomes even more important for the ODM to support it natively. This will enable developers to perform efficient, relational style joins on data stored across different collections.",n/a,Full,Native relation queries (include) execute joins similar to $lookup.,MongoDB database connector
API Docs,N/A,n/a,Full,Fully type-safe and auto-generated API reference.,Prisma Client API Reference
Compatibility,This should be in line with the newly published drivers compatibility data which includes FAQs. Users should be able to clearly understand if a specific version of an ODM works with a given version of MongoDB,n/a,Full,"Officially supports MongoDB version 4.2 and later, including MongoDB Atlas.",Databases supported by Prisma ORM
Getting Started Guide,This can be a quick start guide or a getting started tutorial that helps developers get started with a basic use of working with MongoDB and the ODM quickly,n/a,Full,Comprehensive guides and documentation are available.,Prisma Documentation
Logging,"Robust logging support in the ODM is essential for debugging, performance monitoring, and observability. The ODM should provide structured, configurable logging for key operations such as queries, writes, connection issues, and retries. This helps developers diagnose issues, audit data access patterns, and integrate with observability tools, improving application reliability and maintainability.",n/a,Full,"Supports configurable logging levels (query, info, etc.) and event-based logging.",Logging
Query Builder,Users should be able to do basic to advanced Querying through an ODM. This includes writing aggregation pipelines.,n/a,Full,"Prisma Client provides a fluent, type-safe query builder for standard CRUD operations (findMany, findFirst, etc.).",CRUD (Reference)
Support for Array Field,"Arrays are a fundamental part of MongoD'’s schema flexibility, allowing documents to store lists of values or sub documents. Our ODM's should support array fields with type validation, indexing support, and atomic update operations (e.g., $push, $pull etc).",n/a,Full,"Supports scalar arrays and arrays of composite types, including atomic update operations. Unclear if multi-key indexes are supported.",Composite types
Support for Embedded Field,"Embedded fields (or sub documents) are a core part of MongoDB's document model, allowing related data to be stored together. Our ODM's should support defining and validating nested models within a parent document.",n/a,Full,"Handled via ""Composite Types"" in the Prisma Schema.",Composite types
Support for MongoDB Document Model,"The ODM should fully embrace MongoDB’s rich document model including nested documents, arrays, and flexible schemas. This enables developers to model data naturally in MongoDB.",n/a,Full,"Fully supports MongoDB's rich document model, including nested documents and arrays, via ""Composite Types.""",Composite types
Transactions,Transactions is deemed a table stake feature for apps running in production. This is especially important for apps migrating from relational to MongoDB.,n/a,Full,"Supports Interactive Transactions ($transaction) for multi-document operations (requires a Replica Set, standard for Atlas).",MongoDB Transactions
Support for Sync and Async Connection,"Many programming languages now natively support both sync and async behaviour. If the underlying driver in that language supports async behaviour, we should consider bubbling up that support to the ODM as well.",n/a,Full,Uses the underlying driver's capabilities.,Connection Pool
Data Validation,"The ODM should support schema based data validation to ensure data integrity before it's written to the database. If the underlying framework itself supports it like .NET&EF Core, we need not duplicate this functionality in the ODM",n/a,Full,Static typing is provided. Runtime type validation can be achieved with tools like Zod or by setting up schema validations on the server (runCommand),
Query Caching,"Query caching allows frequently accessed data to be stored temporarily in memory, reducing database load and improving read performance. The ODM should offer optional, configurable caching for read operations, especially for queries with high read-to-write ratios. This is valuable for improving latency in user-facing applications and reducing redundant database hits in high-traffic environments. Some popular ODM's already support it such as Beanie.",n/a,Full,Through Prisma Accelerate,Prisma Accelerate